property_id,TagLine, ListPrice ,Bedrooms,Bathrooms,LivingArea,LotSizeSquareFeet,YearBuilt,PropertyType,OnMarketDate,StreetName,City,Lat,Lon,Company
21013,"Bo. Palos Blancos, Casa en Corozal"," $59,000.00 ",3,1.0,832,631,1994,Homes,5/1/2021,Carr 807 Km 4.8 Bo. Palos Blancos Dos Bocas I,Corozal,18.29325,-66.31714,Company1
21015,"Bo. Salvador, Terreno en Caguas"," $10,000.00 ",0,0.0,0,3275,0,Land,5/1/2021,Carr 765 Km 8.5 Int. Lote 2 Bo. Salvador,Caguas,18.12143719,-66.04080058,Company1
21016,"Bo. Monacillos, Casa en San Juan"," $109,000.00 ",6,3.0,2016,238,1966,Multi-Family Homes,9/29/2021,Bo. Monacillos (22-A) LA 767 SO 7 St Caparra Terrace Dev,San Juan - Rio Piedras,18.4012,-66.0899,Company1
21020,"Bo. Palomas, Casa en Comerio"," $59,000.00 ",7,2.0,2462,244,1977,Homes,11/30/2021,Carr 156 Km 31.6 La Loma Bo. Palomas,Comerio,18.2178,-66.23117,Company1
21022,"Bo. Dajaos, Casa en Bayamón"," $63,000.00 ",6,3.0,1778,632,1980,Homes,5/1/2021,Carr 167 Parc # 66 Calle 7 Bo. Dajaos,Bayamon,18.3039,-66.1841,Company1
21027,"Bo. Santa Olaya, Casa en Bayamón"," $35,000.00 ",3,1.0,900,504,1970,Homes,3/31/2023,Carr 829 Km 4.3 Lote # 3 Sec El Punto Santa Oyala,Bayamon,18.31676,-66.17485,Company1
21033,"Bo. Pueblo, Local Comercial en Mayaguez"," $116,550.00 ",6,4.0,4384,202,1960,Commercial,12/31/2021,# 110 Calle Cristy Ezq Dr. Vadi,Mayaguez,18.19959851,-67.14791045,Company1
21035,"Bo. Barinas, Casa en Yauco"," $49,000.00 ",4,1.0,1087,367,1979,Homes,1/31/2022,# 208 Calle Ocasio Pagan Bo. Barinas,Yauco,18.013908,-66.847009,Company1
21043,"Urb. Lirios del Sur, Casa en Ponce"," $36,000.00 ",2,1.0,714,200,1979,Homes,5/3/2021,# 3030(G-17) Calle Arrecife Urb. Lirios del Sur,Ponce,17.987322,-66.635261,Company1
21048,"Bo. Cantera, Edificio Multifamiliar en Ponce"," $152,500.00 ",0,1.0,5374,226,1980,Commercial,11/30/2021,# 60 Calle Mayor Cantera Ponce Town Core,Ponce,18.01949735,-66.61182775,Company1
21049,"Bo. Arenas, Casa en Utuado"," $59,000.00 ",5,2.0,1620,491,1987,Multi-Family Homes,2/28/2022,A-10(Parc # 90)  Comm Los Pinos Bo. Arenas Carr 523,Utuado,18.262471,-66.706612,Company1
21061,"Bo. Almacigo Bajo, Casa en Yauco"," $54,000.00 ",3,1.0,936,1005,1980,Homes,11/30/2021,Carr 371 Km 3.0 Lote 83 Calle Herminio Perez Bo. Almacigo Bajo,Yauco,18.0545634,-66.8658433,Company1
21062,"Bo. Rio Prieto, Casa en Yauco"," $43,000.00 ",2,1.0,621,931,1994,Homes,1/31/2022,Carr 374 Km 5.0 Bo. Rio Prieto,Yauco,18.14106,-66.85256,Company1
21070,"Bo. Capitanejo, Casa en Juana Diaz"," $50,000.00 ",3,1.0,750,300,2009,Homes,5/4/2021,N-27 Calle Marginal Bo. Capitanejo,Juana Diaz,17.9982,-66.5306,Company1
21077,"Bo. Sabana Llana, Casa en San Juan"," $69,000.00 ",5,2.0,1664,902,1975,Multi-Family Homes,12/31/2021,# 316 Calle 2 Comm Santo Domingo Bo. Sabana Llana,San Juan - Rio Piedras,18.3814,-66.0063,Company1
21085,"Bo. Quebrada Arriba, Casa en Cayey"," $52,000.00 ",6,2.0,1053,1000,1993,Homes,5/5/2021,Carr 15 Km 21.1 Int. Lot 1 Bo. Quebrada Arriba,Cayey,18.09669368,-66.1565723,Company1
21098,"Bo. Camarones, Terreno en Guaynabo"," $198,000.00 ",0,0.0,0,3029,0,Land,5/10/2021,"Bo. Camarones, Carr. PR 169, Km. 2.2",Guaynabo,18.343394,-66.107968,Company1
21824,"Bo. Pajonal, Solar en Florida"," $30,000.00 ",0,0.0,0,494,0,Land,6/2/2021,Bo. Pajonal Carretera 641 Km 5.0 Solar 4,Florida,18.38910938,-66.55456522,Company1
21883,"Bo. Peña Pobre, Casa en Naguabo"," $156,000.00 ",3,2.0,1977,4164,1983,Homes,5/25/2021,Carr 31 Km 11.8 Bo. Peña Pobre,Naguabo,18.21415582,-65.80713364,Company1
21899,"Bo. Pueblo, Casa en Santa Isabel"," $55,000.00 ",3,2.0,1166,714,1980,Homes,9/30/2021,#54 Calle Celis Aguilera Pueblo,Santa Isabel,17.9729,-66.4077,Company1
21937,"Bo. Piletas, Casa en Lares"," $69,000.00 ",3,2.0,938,401,1993,Homes,12/30/2021,Carr 453 Km 5.5 Int. Lote A Bo. Piletas,Lares,18.32809136,-66.88627943,Company1
22076,"Bo. Dominguito, Arecibo"," $142,000.00 ",5,2.0,2058,1991,1992,Homes,6/21/2021,SR-651 Km 4.5 Barrio Dominguito,Arecibo,18.42599272,-66.7475876,Company1
22153,"Urb. Jardines De Betania, Solar en Arecibo"," $60,000.00 ",0,0.0,0,2887,0,Land,7/10/2021,Urb. Jardines De Betania Solar #3 Calle Ceiba,Arecibo,18.4429424,-66.6061961,Company1
22161,"Bo. Paso Seco, Terreno en Santa Isabel"," $262,500.00 ",0,0.0,0,1278,0,Land,8/31/2022,Carr 545 int Parcela #23 Bo Paso Seco,Santa Isabel,18.01420663,-66.40433567,Company1
22236,"Bo. Barahona, Terreno en Morovis"," $225,000.00 ",0,0.0,0,34565,0,Land,7/14/2021,PR 155 Km Bo. Barahona,Morovis,18.3585786,-66.4354685,Company1
22352,"Bo. Villalba Arriba, Local Comercial en Villalba"," $105,000.00 ",2,1.0,17290,1891,1970,Commercial,1/31/2022,Lot 14-A Calle Luchetti Bo. Villalba Arriba,Villalba,18.13114179,-66.49032803,Company1
22416,"URB. MANSIONES DE TERRA LINDA, TERRENO EN LUQUILLO"," $50,500.00 ",0,0.0,0,1013,0,Land,8/13/2021,MANSIONES DE TERRALINDA PR 991 KM2.1 LOTE #16,Luquillo,18.355478,-65.727881,Company1
22417,"URB. MANSIONES DE TERRA LINDA, TERRENO EN LUQUILLO"," $65,000.00 ",0,0.0,0,1116,0,Land,8/13/2021,URB. MANSIONES DE TERRALINDA PR 991 KM 2.1 LOTE #17,Luquillo,18.355478,-65.727881,Company1
22423,"URB. MANSIONES DE TERRA LINDA, TERRENO EN LUQUILLO"," $55,500.00 ",0,0.0,0,1064,0,Land,8/13/2021,MANSIONES DE TERRALINDA PR 991 KM 2.1 LOTE #24,Luquillo,18.355478,-65.727881,Company1
22432,"Bo. Vayas, Terreno en Ponce"," $290,000.00 ",0,0.0,0,285523,0,Land,12/31/2021,Carr 1 Km 0.7 Int. Lote # D Bo. Vayas,Ponce,17.97615405,-66.58425404,Company1
22524,"Bo. Pueblo, Casa en Rio Grande"," $110,000.00 ",6,2.0,9005,470,2000,Multi-Family Homes,1/5/2023,Calle Providencia #25 Rio Grande Pueblo,Rio Grande,18.38101,-65.82917,Company1
22574,"Bo. Pozas, Finca Ciales"," $255,000.00 ",0,0.0,0,203397,0,Land,8/22/2021,Bo. Pozas (#finca 7085 y 2388) Carr 615  Km 7.1 sector Camino El Cedro,Ciales,18.2688256,-66.4638952,Company1
22645,"Urb. Colinas De Monte Carlo, Casa en San Juan"," $185,000.00 ",4,2.0,1360,322,1976,Homes,3/3/2023,Urb. Colinas de Montecarlo Calle 44 H4,San Juan - Rio Piedras,18.382044,-66.010429,Company5
22728,"Bo. Guaniquilla, Casa en Cabo Rojo"," $3,000,000.00 ",6,6.0,8000,31561,1988,Homes,9/24/2021,Residencia Barrio Guaniquilla Sector Lamela,Cabo Rojo,18.06185,-67.192078,Company1
22737,"Bo. Pitahaya, Casa en Arroyo"," $39,000.00 ",3,1.0,870,674,1975,Homes,1/31/2022,Carr 3 Ramal 751 Km 0.2 Lot 4 Bo. Pitahaya,Arroyo,17.9969,-66.0622,Company1
22809,"Bo. Minillas, Terreno en San German"," $229,000.00 ",0,0.0,0,287989,0,Land,8/31/2021,Carr 2 km 179 Bo. Minillas,San German,18.08368659,-66.98729078,Company1
22890,"Urb. Santa Juanita, Local Comercial en Bayamon"," $349,000.00 ",0,3.0,3000,365,1965,Commercial,10/12/2021,BB-32 Ave. Santa Juanita,Bayamon,18.36900375,-66.16506796,Company3
22919,"Urb. Brisas Del Yunque, Solar en Canovanas"," $120,000.00 ",0,0.0,0,2451,0,Land,10/13/2021,Solar #27 Urb. Brisas de Yunque Carr 186 Cubuy,Canovanas,18.2822,-65.8667,Company3
22954,"Bo. Espino, Solar en San Lorenzo"," $90,000.00 ",0,0.0,0,13048,0,Land,10/12/2021,Bo. Espino Solar 8 Carr. 745 Km. HM 3.8,San Lorenzo,18.13691839,-66.0168061,Company1
22961,"Bo. Mamey, Propiedad Comercial en Patillas"," $1,300,000.00 ",4,3.0,4230,20870,2000,Commercial,10/18/2021,KM. HM 7. 8 Carr 757 Bo. Mamey,Patillas,18.023997,-65.993402,Company1
22971,"Bo. Sabana Hoyos, Solar en Arecibo"," $49,000.00 ",0,0.0,0,1457,0,Land,10/20/2021,"Solar en Carr. 628 Sector Montaña, Barrio Sabana Hoyos",Arecibo,18.362198,-66.594964,Company1
22972,"Urb. Levittown Lakes, Casa en Toa Baja"," $300,000.00 ",5,6.0,3000,405,1987,Homes,10/20/2021,X1750 Paseo Darsena Urb Levittown Lakes,Toa Baja,18.453029,-66.183375,Company1
22983,"Bo. Miradero, Hacienda en Cabo Rojo"," $2,500,000.00 ",6,8.0,10244,39062,2014,Homes,10/17/2021,KM HM 7.2 Carr 308 Bo. Miradero Puerto Real,Cabo Rojo,18.091752,-67.176093,Company1
23058,"Urb. Valle Escondido, Casa en Guaynabo"," $1,550,000.00 ",9,3.5,4732,2000,2004,Homes,10/25/2021,Calle 3 C-28 Urb. Valle Escondido,Guaynabo,18.302342,-66.115594,Company3
